OrtoID	Score	OrtoA	OrtoB
1	2288	META1_3477 1.000 	CQW49_RS02665 1.000 
2	2273	META1_4405 1.000 	CQW49_RS17320 1.000 
3	2226	META1_4406 1.000 	CQW49_RS17330 1.000 
4	1851	META1_0872 1.000 	CQW49_RS05145 1.000 
5	1819	META1_1494 1.000 	CQW49_RS19115 1.000 
6	1802	META1_0858 1.000 	CQW49_RS10620 1.000 
7	1579	META2_0113 1.000 META2_0217 0.536 	CQW49_RS14875 1.000 
8	1574	META1_4357 1.000 	CQW49_RS11690 1.000 
9	1572	META1_4552 1.000 	CQW49_RS16705 1.000 
10	1517	META1_3644 1.000 	CQW49_RS12670 1.000 
11	1488	META1_4267 1.000 	CQW49_RS20705 1.000 
12	1466	META1_4848 1.000 	CQW49_RS16665 1.000 CQW49_RS16160 0.363 
13	1426	META2_0174 1.000 META1_2655 0.657 	CQW49_RS19930 1.000 
14	1394	META1_1540 1.000 	CQW49_RS16425 1.000 
15	1386	META1_2327 1.000 	CQW49_RS20490 1.000 
16	1368	META1_1393 1.000 	CQW49_RS12450 1.000 
17	1329	META1_0816 1.000 	CQW49_RS01715 1.000 
18	1321	META1_2349 1.000 	CQW49_RS18940 1.000 
19	1320	META1_2828 1.000 	CQW49_RS13170 1.000 
20	1289	META1_2487 1.000 	CQW49_RS08380 1.000 
21	1287	META1_5143 1.000 	CQW49_RS08640 1.000 
22	1276	META1_1371 1.000 	CQW49_RS16155 1.000 
23	1272	META1_2421 1.000 	CQW49_RS16140 1.000 
24	1269	META1_5025 1.000 	CQW49_RS22535 1.000 
25	1263	META1_3097 1.000 	CQW49_RS04525 1.000 
26	1262	META1_4229 1.000 	CQW49_RS11395 1.000 
27	1257	META1_5016 1.000 	CQW49_RS02060 1.000 
28	1252	META1_5259 1.000 	CQW49_RS20690 1.000 
29	1235	META1_3523 1.000 	CQW49_RS02295 1.000 
30	1231	META1_2488 1.000 	CQW49_RS08385 1.000 
31	1225	META1_2014 1.000 	CQW49_RS01040 1.000 
32	1185	META1_2150 1.000 	CQW49_RS10535 1.000 
33	1182	META1_2718 1.000 	CQW49_RS11135 1.000 
34	1180	META1_1305 1.000 	CQW49_RS04005 1.000 
35	1180	META1_4834 1.000 	CQW49_RS21180 1.000 
36	1163	META1_4445 1.000 	CQW49_RS16815 1.000 
37	1158	META1_2546 1.000 	CQW49_RS03785 1.000 
38	1158	META1_1470 1.000 	CQW49_RS10965 1.000 
39	1153	META1_2436 1.000 	CQW49_RS03165 1.000 
40	1129	META1_1732 1.000 	CQW49_RS12265 1.000 
41	1128	META1_4416 1.000 	CQW49_RS21120 1.000 
42	1116	META1_2041 1.000 	CQW49_RS15650 1.000 
43	1096	META1_4300 1.000 META1_0312 0.455 	CQW49_RS11710 1.000 
44	1088	META2_0008 1.000 	CQW49_RS21550 1.000 CQW49_RS21490 0.068 CQW49_RS21485 0.053 
45	1082	META1_4538 1.000 	CQW49_RS14460 1.000 
46	1074	META1_3164 1.000 	CQW49_RS20640 1.000 
47	1061	META1_0010 1.000 	CQW49_RS11955 1.000 
48	1054	META1_1524 1.000 	CQW49_RS15785 1.000 
49	1054	META1_5251 1.000 	CQW49_RS12585 1.000 
50	1042	META1_0229 1.000 	CQW49_RS19455 1.000 
51	1040	META1_0214 1.000 	CQW49_RS17045 1.000 
52	1037	META1_2049 1.000 	CQW49_RS02860 1.000 
53	1033	META1_2054 1.000 	CQW49_RS18690 1.000 
54	1020	META1_3919 1.000 	CQW49_RS11815 1.000 
55	1010	META2_0206 1.000 META1_2605 0.781 META1_1889 0.533 META2_0089 0.437 	CQW49_RS14870 1.000 
56	1010	META1_3452 1.000 	CQW49_RS15535 1.000 
57	1007	META1_3408 1.000 	CQW49_RS13460 1.000 
58	1006	META1_5061 1.000 	CQW49_RS03945 1.000 
59	1005	META1_0361 1.000 	CQW49_RS19515 1.000 
60	1003	META1_2890 1.000 	CQW49_RS11185 1.000 
61	997	META1_1025 1.000 	CQW49_RS04230 1.000 
62	988	META1_2868 1.000 	CQW49_RS03915 1.000 
63	987	META1_0211 1.000 	CQW49_RS13000 1.000 
64	986	META1_1050 1.000 	CQW49_RS13050 1.000 
65	985	META1_1821 1.000 	CQW49_RS23875 1.000 
66	980	META1_3861 1.000 	CQW49_RS10840 1.000 
67	977	META1_3608 1.000 	CQW49_RS21455 1.000 
68	971	META1_0578 1.000 	CQW49_RS21200 1.000 
69	968	META1_4680 1.000 	CQW49_RS03200 1.000 
70	967	META1_0822 1.000 	CQW49_RS09520 1.000 
71	966	META1_0731 1.000 	CQW49_RS01035 1.000 
72	962	META1_2531 1.000 	CQW49_RS13870 1.000 
73	962	META1_2963 1.000 	CQW49_RS21015 1.000 
74	962	META1_4393 1.000 	CQW49_RS19850 1.000 
75	959	META1_4678 1.000 	CQW49_RS16775 1.000 
76	958	META1_3331 1.000 	CQW49_RS09485 1.000 
77	956	META1_3299 1.000 	CQW49_RS19550 1.000 
78	953	META1_3203 1.000 	CQW49_RS20880 1.000 
79	946	META1_1503 1.000 	CQW49_RS04945 1.000 
80	945	META1_2323 1.000 	CQW49_RS16010 1.000 
81	940	META1_5299 1.000 	CQW49_RS18575 1.000 CQW49_RS18565 0.756 
82	940	META1_0435 1.000 	CQW49_RS04780 1.000 
83	936	META1_2090 1.000 	CQW49_RS04520 1.000 
84	929	META1_3542 1.000 META1_2762 0.308 	CQW49_RS21995 1.000 
85	929	META1_0515 1.000 	CQW49_RS19770 1.000 
86	925	META1_1740 1.000 META1_2757 0.567 	CQW49_RS14430 1.000 
87	925	META1_0844 1.000 	CQW49_RS05300 1.000 
88	925	META1_1809 1.000 	CQW49_RS06480 1.000 
89	923	META1_5321 1.000 	CQW49_RS06830 1.000 
90	922	META1_3916 1.000 	CQW49_RS13135 1.000 
91	921	p2METAp0038 1.000 	CQW49_RS08930 1.000 
92	914	META1_0849 1.000 	CQW49_RS05325 1.000 
93	912	META1_0130 1.000 	CQW49_RS10655 1.000 
94	910	META1_0055 1.000 	CQW49_RS16360 1.000 
95	908	META1_1996 1.000 	CQW49_RS19130 1.000 
96	907	META1_3224 1.000 	CQW49_RS21400 1.000 
97	892	META1_1813 1.000 META1_4706 0.908 	CQW49_RS09240 1.000 
98	882	META1_1178 1.000 	CQW49_RS05135 1.000 
99	877	META1_2066 1.000 	CQW49_RS00465 1.000 
100	876	META1_0180 1.000 	CQW49_RS20220 1.000 
101	873	META1_0083 1.000 	CQW49_RS13415 1.000 
102	871	META1_2722 1.000 	CQW49_RS01470 1.000 
103	867	META1_2951 1.000 	CQW49_RS06035 1.000 
104	865	META1_1818 1.000 	CQW49_RS17155 1.000 
105	863	META1_4550 1.000 	CQW49_RS01535 1.000 
106	859	META1_2883 1.000 	CQW49_RS04965 1.000 
107	857	META1_0172 1.000 	CQW49_RS16120 1.000 
108	856	META1_3083 1.000 	CQW49_RS03700 1.000 
109	852	META1_1361 1.000 	CQW49_RS00295 1.000 
110	851	META1_3933 1.000 	CQW49_RS09135 1.000 
111	851	META1_5110 1.000 	CQW49_RS19000 1.000 
112	848	META1_4361 1.000 	CQW49_RS01415 1.000 
113	844	META1_2211 1.000 	CQW49_RS17010 1.000 
114	842	META1_2382 1.000 	CQW49_RS02305 1.000 
115	842	META1_3689 1.000 	CQW49_RS01770 1.000 
116	842	META1_1328 1.000 	CQW49_RS17905 1.000 
117	842	META1_1349 1.000 	CQW49_RS20965 1.000 
118	828	META1_4736 1.000 	CQW49_RS04935 1.000 
119	828	META1_3135 1.000 	CQW49_RS20850 1.000 
120	824	META1_1474 1.000 	CQW49_RS12800 1.000 
121	823	META1_3456 1.000 	CQW49_RS15525 1.000 
122	817	META1_4825 1.000 	CQW49_RS06840 1.000 
123	816	META1_4425 1.000 	CQW49_RS00090 1.000 
124	814	META1_0219 1.000 	CQW49_RS12765 1.000 
125	813	META1_3652 1.000 	CQW49_RS11455 1.000 
126	812	META1_3440 1.000 	CQW49_RS10235 1.000 
127	809	META1_5233 1.000 	CQW49_RS19585 1.000 
128	808	META1_4546 1.000 	CQW49_RS06615 1.000 
129	804	META1_2892 1.000 	CQW49_RS11175 1.000 
130	804	META1_4733 1.000 	CQW49_RS05700 1.000 
131	803	META1_4513 1.000 	CQW49_RS16630 1.000 
132	800	META1_5239 1.000 META1_3552 0.241 	CQW49_RS19065 1.000 
133	800	META2_0992 1.000 	CQW49_RS01055 1.000 
134	798	META1_3277 1.000 	CQW49_RS01110 1.000 
135	797	META1_1293 1.000 	CQW49_RS11320 1.000 
136	792	META1_3473 1.000 	CQW49_RS10065 1.000 
137	790	META1_1359 1.000 	CQW49_RS00305 1.000 
138	790	META1_3624 1.000 	CQW49_RS06220 1.000 
139	784	META1_0347 1.000 	CQW49_RS03830 1.000 
140	781	META1_2379 1.000 	CQW49_RS20740 1.000 
141	780	META1_3307 1.000 	CQW49_RS10595 1.000 
142	774	META1_5196 1.000 	CQW49_RS16495 1.000 
143	773	META1_3433 1.000 	CQW49_RS19355 1.000 
144	772	META1_0699 1.000 	CQW49_RS04095 1.000 
145	769	META1_1797 1.000 	CQW49_RS04450 1.000 
146	769	META1_2223 1.000 	CQW49_RS16385 1.000 
147	767	META1_4642 1.000 	CQW49_RS05985 1.000 
148	767	META1_3645 1.000 	CQW49_RS12665 1.000 
149	767	META1_4876 1.000 	CQW49_RS14325 1.000 
150	765	META1_4883 1.000 	CQW49_RS09375 1.000 
151	764	META1_3397 1.000 	CQW49_RS02910 1.000 
152	764	META1_2566 1.000 	CQW49_RS21670 1.000 
153	754	META2_1021 1.000 	CQW49_RS09855 1.000 
154	753	META1_4875 1.000 	CQW49_RS14340 1.000 
155	752	META1_0328 1.000 	CQW49_RS00020 1.000 
156	750	META1_0866 1.000 	CQW49_RS05020 1.000 
157	750	META1_2535 1.000 	CQW49_RS01750 1.000 
158	748	META1_0132 1.000 	CQW49_RS10150 1.000 
159	748	META1_2024 1.000 	CQW49_RS06010 1.000 
160	745	META1_2448 1.000 	CQW49_RS17420 1.000 
161	739	META1_0329 1.000 	CQW49_RS12230 1.000 
162	733	META1_4320 1.000 	CQW49_RS02025 1.000 
163	733	META1_2420 1.000 	CQW49_RS16145 1.000 
164	732	META1_0178 1.000 	CQW49_RS03800 1.000 
165	731	META1_0843 1.000 	CQW49_RS05295 1.000 
166	731	META1_4800 1.000 	CQW49_RS16020 1.000 
167	730	META1_3538 1.000 	CQW49_RS01100 1.000 
168	727	META1_0850 1.000 	CQW49_RS05330 1.000 
169	727	META1_3145 1.000 	CQW49_RS01170 1.000 
170	725	META1_4314 1.000 	CQW49_RS03770 1.000 
171	723	META1_4662 1.000 	CQW49_RS00850 1.000 
172	722	META1_4832 1.000 META1_2151 0.985 	CQW49_RS10530 1.000 CQW49_RS02140 1.000 
173	722	META1_1984 1.000 META1_4415 0.275 	CQW49_RS14935 1.000 
174	719	META1_0773 1.000 	CQW49_RS16840 1.000 
175	718	META1_1807 1.000 	CQW49_RS06075 1.000 
176	715	META1_3021 1.000 	CQW49_RS01665 1.000 
177	714	META1_5129 1.000 	CQW49_RS04760 1.000 
178	713	META1_2269 1.000 	CQW49_RS02005 1.000 
179	713	META1_2043 1.000 	CQW49_RS15640 1.000 
180	707	META1_2867 1.000 	CQW49_RS13165 1.000 
181	703	META1_4969 1.000 	CQW49_RS14895 1.000 
182	702	META1_1268 1.000 	CQW49_RS11030 1.000 
183	702	META1_1454 1.000 	CQW49_RS12810 1.000 
184	702	META1_5088 1.000 	CQW49_RS11230 1.000 
185	701	META1_3302 1.000 	CQW49_RS10985 1.000 
186	699	META2_0910 1.000 	CQW49_RS18980 1.000 
187	696	META1_5286 1.000 	CQW49_RS16600 1.000 
188	695	META1_2958 1.000 	CQW49_RS13105 1.000 
189	693	META1_0128 1.000 	CQW49_RS10650 1.000 
190	693	META1_3384 1.000 	CQW49_RS06375 1.000 
191	691	META1_3354 1.000 	CQW49_RS01455 1.000 
192	691	META1_4882 1.000 	CQW49_RS09355 1.000 
193	690	META1_1489 1.000 	CQW49_RS11790 1.000 
194	689	META1_3547 1.000 	CQW49_RS03815 1.000 
195	687	META1_2294 1.000 	CQW49_RS15660 1.000 
196	687	META1_3304 1.000 	CQW49_RS10975 1.000 
197	685	META1_0005 1.000 	CQW49_RS21260 1.000 
198	682	META1_1519 1.000 	CQW49_RS19865 1.000 
199	681	META1_4926 1.000 	CQW49_RS05005 1.000 
200	680	META1_0236 1.000 	CQW49_RS06110 1.000 
201	678	META1_2359 1.000 	CQW49_RS01065 1.000 
202	678	META1_2199 1.000 	CQW49_RS16345 1.000 
203	677	META1_5130 1.000 	CQW49_RS04755 1.000 
204	675	META1_0840 1.000 	CQW49_RS05280 1.000 
205	673	META1_0477 1.000 	CQW49_RS20425 1.000 
206	672	META1_0049 1.000 	CQW49_RS17185 1.000 
207	671	META1_2950 1.000 	CQW49_RS06030 1.000 
208	671	META1_4700 1.000 	CQW49_RS20570 1.000 
209	665	META1_2354 1.000 	CQW49_RS08615 1.000 
210	664	META1_0776 1.000 	CQW49_RS06980 1.000 
211	664	META1_3024 1.000 	CQW49_RS01645 1.000 
212	664	META1_2987 1.000 	CQW49_RS01950 1.000 
213	664	META1_0165 1.000 	CQW49_RS18905 1.000 
214	663	META1_0852 1.000 	CQW49_RS05340 1.000 
215	663	META1_2222 1.000 	CQW49_RS10240 1.000 
216	662	META1_3905 1.000 	CQW49_RS05040 1.000 
217	662	META1_4287 1.000 	CQW49_RS15745 1.000 
218	661	META1_1974 1.000 	CQW49_RS09110 1.000 
219	661	META1_5117 1.000 	CQW49_RS20340 1.000 
220	660	META1_3148 1.000 	CQW49_RS11265 1.000 
221	660	META1_4494 1.000 	CQW49_RS11885 1.000 
222	657	META1_3503 1.000 	CQW49_RS11985 1.000 
223	655	META1_1446 1.000 	CQW49_RS13080 1.000 
224	655	META1_4847 1.000 	CQW49_RS16670 1.000 
225	654	META1_0340 1.000 	CQW49_RS09335 1.000 
226	653	META1_2172 1.000 	CQW49_RS10420 1.000 
227	650	META1_2990 1.000 	CQW49_RS06870 1.000 
228	649	META1_5297 1.000 	CQW49_RS20465 1.000 
229	648	META1_0486 1.000 	CQW49_RS10875 1.000 
230	648	META1_2984 1.000 	CQW49_RS08635 1.000 
231	648	META1_4857 1.000 	CQW49_RS15830 1.000 
232	645	META1_2088 1.000 	CQW49_RS04890 1.000 
233	643	META1_0471 1.000 	CQW49_RS04415 1.000 
234	641	META1_2959 1.000 	CQW49_RS01310 1.000 
235	638	META1_1822 1.000 META1_3235 0.821 	CQW49_RS11755 1.000 
236	638	META1_0594 1.000 	CQW49_RS10940 1.000 
237	637	META1_3455 1.000 	CQW49_RS15530 1.000 
238	636	META1_1421 1.000 	CQW49_RS08575 1.000 
239	635	META1_1490 1.000 	CQW49_RS12340 1.000 
240	634	META1_2901 1.000 	CQW49_RS02830 1.000 
241	634	META1_3478 1.000 	CQW49_RS02785 1.000 
242	633	META1_0436 1.000 	CQW49_RS04775 1.000 
243	633	META1_1160 1.000 	CQW49_RS11665 1.000 
244	632	META1_3158 1.000 	CQW49_RS17855 1.000 
245	628	META1_3154 1.000 	CQW49_RS11300 1.000 
246	628	META1_4455 1.000 	CQW49_RS12360 1.000 
247	626	META1_1730 1.000 	CQW49_RS12255 1.000 
248	626	META1_4660 1.000 	CQW49_RS18250 1.000 
249	624	META2_1331 1.000 	CQW49_RS18155 1.000 
250	619	META1_1794 1.000 	CQW49_RS00670 1.000 
251	619	META1_2053 1.000 	CQW49_RS01265 1.000 
252	619	META1_3910 1.000 	CQW49_RS01840 1.000 
253	617	META1_4318 1.000 	CQW49_RS03755 1.000 
254	616	META1_1538 1.000 	CQW49_RS19010 1.000 
255	614	META1_1022 1.000 	CQW49_RS12375 1.000 
256	613	META1_0379 1.000 	CQW49_RS17745 1.000 
257	608	META1_1535 1.000 	CQW49_RS06785 1.000 
258	605	META1_3023 1.000 	CQW49_RS01650 1.000 
259	604	META1_4621 1.000 	CQW49_RS03020 1.000 
260	601	META1_5083 1.000 	CQW49_RS12090 1.000 CQW49_RS14840 0.937 
261	600	META1_1542 1.000 	CQW49_RS12150 1.000 
262	598	META1_0732 1.000 	CQW49_RS02245 1.000 
263	598	META1_3192 1.000 	CQW49_RS02260 1.000 
264	597	META1_2941 1.000 	CQW49_RS01150 1.000 
265	597	META1_4570 1.000 	CQW49_RS07080 1.000 
266	597	META1_2288 1.000 	CQW49_RS19635 1.000 
267	593	META1_2849 1.000 	CQW49_RS02730 1.000 
268	589	META1_4433 1.000 	CQW49_RS06595 1.000 
269	588	META1_2378 1.000 	CQW49_RS20750 1.000 
270	587	META1_3700 1.000 	CQW49_RS17805 1.000 
271	586	META1_0239 1.000 	CQW49_RS06285 1.000 
272	586	META1_2962 1.000 	CQW49_RS21010 1.000 
273	583	META1_2438 1.000 	CQW49_RS09395 1.000 
274	583	META1_4365 1.000 	CQW49_RS01400 1.000 
275	583	META1_2857 1.000 	CQW49_RS13280 1.000 
276	582	META1_5076 1.000 	CQW49_RS23550 1.000 CQW49_RS23560 0.424 CQW49_RS23570 0.235 
277	582	META1_4913 1.000 	CQW49_RS12625 1.000 
278	580	META1_0362 1.000 	CQW49_RS20480 1.000 
279	579	META1_4211 1.000 	CQW49_RS10785 1.000 
280	579	META1_3197 1.000 	CQW49_RS19520 1.000 
281	579	META1_3322 1.000 	CQW49_RS19005 1.000 
282	578	META1_0175 1.000 	CQW49_RS06810 1.000 
283	578	META1_4370 1.000 	CQW49_RS20670 1.000 
284	576	META1_2027 1.000 	CQW49_RS06705 1.000 
285	576	META1_0671 1.000 	CQW49_RS17600 1.000 
286	576	META1_2721 1.000 	CQW49_RS11140 1.000 
287	575	META1_3521 1.000 	CQW49_RS04855 1.000 
288	575	META1_2167 1.000 	CQW49_RS12570 1.000 
289	575	META1_3690 1.000 	CQW49_RS17165 1.000 
290	575	META1_5245 1.000 	CQW49_RS10920 1.000 
291	574	META1_3072 1.000 	CQW49_RS15710 1.000 
292	573	META1_4295 1.000 	CQW49_RS16250 1.000 
293	572	META1_4334 1.000 META1_2091 0.323 	CQW49_RS06330 1.000 
294	572	META1_4627 1.000 	CQW49_RS02200 1.000 
295	571	META1_3465 1.000 	CQW49_RS10025 1.000 
296	571	META1_5200 1.000 	CQW49_RS16455 1.000 
297	570	META1_1961 1.000 	CQW49_RS00600 1.000 
298	570	META1_5249 1.000 	CQW49_RS10960 1.000 
299	569	META1_2118 1.000 	CQW49_RS09945 1.000 
300	569	META1_1726 1.000 	CQW49_RS12235 1.000 
301	565	META1_1534 1.000 	CQW49_RS02905 1.000 
302	564	META1_4677 1.000 	CQW49_RS04920 1.000 
303	561	META1_0001 1.000 	CQW49_RS00005 1.000 
304	561	META1_2510 1.000 	CQW49_RS00055 1.000 
305	560	META1_1689 1.000 	CQW49_RS17060 1.000 
306	560	META1_5208 1.000 	CQW49_RS09030 1.000 
307	559	META1_3441 1.000 	CQW49_RS09055 1.000 
308	559	META1_5174 1.000 	CQW49_RS02450 1.000 
309	557	META1_2050 1.000 	CQW49_RS02855 1.000 
310	557	META1_2466 1.000 	CQW49_RS13315 1.000 
311	554	META1_1785 1.000 	CQW49_RS02145 1.000 
312	554	META1_4672 1.000 	CQW49_RS02965 1.000 
313	554	META1_3012 1.000 	CQW49_RS15935 1.000 
314	554	META1_2896 1.000 	CQW49_RS17825 1.000 
315	553	META1_1718 1.000 	CQW49_RS10745 1.000 
316	552	META2_0097 1.000 	CQW49_RS10895 1.000 
317	552	META1_5225 1.000 	CQW49_RS20060 1.000 
318	552	META2_1131 1.000 	CQW49_RS17190 1.000 
319	551	META1_3285 1.000 	CQW49_RS01510 1.000 
320	551	META1_3165 1.000 	CQW49_RS20630 1.000 
321	549	META1_2370 1.000 	CQW49_RS18455 1.000 
322	547	META1_0842 1.000 	CQW49_RS05290 1.000 
323	547	META1_2481 1.000 	CQW49_RS06100 1.000 
324	545	META1_1788 1.000 	CQW49_RS04700 1.000 
325	544	META1_3364 1.000 	CQW49_RS04355 1.000 
326	544	META1_4933 1.000 	CQW49_RS20170 1.000 
327	543	META1_0237 1.000 	CQW49_RS06105 1.000 
328	543	META1_5084 1.000 	CQW49_RS11250 1.000 
329	540	META1_0440 1.000 	CQW49_RS11990 1.000 
330	540	META1_3415 1.000 	CQW49_RS09980 1.000 
331	539	META1_3402 1.000 	CQW49_RS13430 1.000 
332	536	META1_0955 1.000 	CQW49_RS22070 1.000 
333	535	META1_0507 1.000 	CQW49_RS18770 1.000 
334	535	META1_3908 1.000 	CQW49_RS05065 1.000 
335	535	META1_4464 1.000 	CQW49_RS13095 1.000 
336	534	META1_0454 1.000 	CQW49_RS18700 1.000 
337	534	META1_2367 1.000 	CQW49_RS11920 1.000 
338	534	META1_1774 1.000 	CQW49_RS15615 1.000 
